"IP";"OS"
"10.117.97.88";"Netgear WGN824 v2 DSL router"

"10.117.97.89";"Netgear WGN824 v2 DSL router"

"10.117.97.91";"Microsoft Windows 2000 Server SP3 or SP4|Microsoft Windows XP SP2 or SP3, or Windows Server 2003|Microsoft Windows XP SP3"

"10.117.97.92";"Netgear WGN824 v2 DSL router"

"10.117.97.93";"3Com SuperStack 3 Switch 3870|Epson Stylus Pro 400 printer|Nintendo Wii game console|Crestron XPanel control system|Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Apple Mac OS X 10.3.9 (Panther) - 10.4.7 (Tiger) (Darwin 7.9.0 - 8.7.8, PowerPC)|Apple Mac OS X 10.4.11 (Tiger) (Darwin 8.11.0)|Apple Mac OS X 10.4.11 (Tiger) (Darwin 8.11.0, PowerPC)|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch"

"10.117.97.94";"Linux 3.2 - 4.9"

"10.117.97.95";"Linux 3.2 - 4.9"

"10.117.97.96";"Linux 3.2 - 4.9"

"10.117.97.98";"Netgear WGN824 v2 DSL router"

"10.117.97.99";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Huawei CloudEngine CE6800 switch|3Com SuperStack 3 Switch 3870"

"10.117.97.100";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Huawei CloudEngine CE6800 switch|3Com SuperStack 3 Switch 3870"

"10.117.97.101";"Cisco Nexus 7000-series switch (NX-OS 6.1(2))|Cisco Nexus switch (NX-OS 6.2)|Cisco Nexus switch (NX-OS 5 or 6.0(2))|Cisco Nexus 7000 switch (NX-OS 6.0)|Cisco Nexus 5548 switch (NX-OS 5.2)|Cisco Nexus switch (NX-OS 6.0(2))|Cisco Nexus switch (NX-OS 5)|Cisco Nexus switch (NX-OS 7.2)|Cisco Nexus 5010 switch (NX-OS 4.1)|Cisco Nexus 5000 switch"

"10.117.97.102";"Cisco Nexus switch (NX-OS 5 or 6.0(2))|Cisco Nexus 7000 switch (NX-OS 6.0)|Cisco Nexus 7000-series switch (NX-OS 6.1(2))|Cisco Nexus 7000 switch (NX-OS 5.2(4))|Cisco Nexus switch (NX-OS 6.0(2))|Cisco Nexus switch (NX-OS 6.2)|Cisco Nexus 7000 switch (NX-OS 6.2.8)|Cisco Nexus 5010 switch (NX-OS 4.1)|Cisco Nexus 3000 switch (NX-OS 6)|Cisco Nexus 5000 switch"

"10.117.97.103";"Linux 3.2 - 4.9"

"10.117.97.104";"Linux 3.2 - 4.9"

"10.117.97.105";"3Com 4200G or Huawei Quidway S5600 switch|Huawei AP6050DN WAP|Huawei VRP 3 switch|3Com Switch 4200G|3Com 4500G switch|H3C Comware 5.20|3Com SuperStack 3 Switch 4500|Huawei MA5200 router|H3C E126A or S3100-8T-SI switch (Comware 3.10)|Huawei AR 28 router"

"10.117.97.106";"Huawei VRP 8.100|Huawei CloudEngine CE6800 switch|NEC UNIVERGE SV8100 PBX|3Com SuperStack 3 Switch 3870|Aastra A510 VoIP phone|Brother HL-5070N printer|Brother MFC-7820N printer|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Huawei AP6050DN WAP|Huawei S9300 switch"

"10.117.97.107";"3Com 4200G or Huawei Quidway S5600 switch|Huawei AP6050DN WAP|Huawei VRP 3 switch|3Com 4500G switch|3Com Switch 4200G|3Com SuperStack 3 Switch 4500|Huawei MA5200 router|Huawei AR 28 router|H3C Comware 5.20|H3C E126A or S3100-8T-SI switch (Comware 3.10)"

"10.117.97.108";"Microsoft Windows Server 2008 SP2 or Windows 10 or Xbox One"

"10.117.97.112";"FreeBSD 7.0-BETA4|FreeBSD 8.0-CURRENT|FreeBSD 7.0-RELEASE|OpenBSD 4.6|OpenBSD 5.3|OpenBSD 4.2|OpenBSD 4.7|OpenBSD 5.0|OpenBSD 6.0|OpenBSD 4.3"

"10.117.97.113";"Linux 2.6.32 - 3.13|Linux 2.6.32|Linux 2.6.32 - 3.10|Linux 3.2 - 3.8|Linux 3.2|Linux 3.8|Linux 3.10|Linux 2.6.32 - 3.0|Linux 2.6.39|Linux 3.4"

